SMILES,rotational_entropy,one_dim_trans_entropy,symmetry
CC[N+]1(CC)CCC[C@H]2CCCC[C@@H]21,0.13610866673868116,0.06025942736650932,1.0
CC[N+]1(CC)CCC[C@@H]2CCCC[C@H]21,0.13592583058909835,0.06025942736650932,1.0
CC[N+]1(CC)CCC[C@@H]2CCCC[C@@H]21,0.13570128405873333,0.06025942736650932,1.0
c1ccc(CN2CCCC2)cc1,0.12674839010582084,0.05944046950938925,2.0
CN1[C@H]2CC[C@@H]1CC(O)C2,0.12585192603528086,0.05888894173620255,1.0
CC(C)(C)[P+](C)(C(C)(C)C)C(C)(C)C,0.12748518321884023,0.06068180434964301,3.0
CCc1n(C)cc(C)[n+]1C,0.127816508376384,0.058829881241611925,1.0
CC[N+]1(C2CCCCC2)CCCC1,0.13461321682588445,0.059951310798306144,1.0
N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,0.12635192042930585,0.059174449840990684,1.0
[NH3+]C12CC3CC(CC(C3)C1)C2,0.11742932737615892,0.059202063096120354,3.0
NC12CC3CC(CC(C3)C1)C2,0.12635190967212562,0.059174449840990684,1.0
C[N+](C)(C)[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3,0.12802414874040277,0.06021652461203189,2.0
C[N+](C)(C)C1C2CC3CC(C2)CC1C3,0.1280240075469034,0.06021652461203189,2.0
CN(C)CCCN(C)C,0.12860968220728697,0.0585524722161698,1.0
CN(C)CCCCCN(C)C,0.1356223201903802,0.05936347310741896,1.0
Cc1cn(C)c(C)[n+]1C,0.12459569283109591,0.058388394648693144,1.0
CC(C)n1cc[n+](CCCCCCCCn2cc[n+](C(C)C)c2)c1,0.15757023034962866,0.06244949267767095,1.0
Cc1c(C)[n+](C)c(C)n1C,0.12745978869236385,0.058829881241611925,1.0
CC(C)CC[N+]1(C)CCCC1,0.13252877733119972,0.059310717734076666,1.0
Cc1cc[n+](C)n1C,0.12170732221120997,0.05789439103263866,1.0
CCCC[N+]1(C2CCCCCCC2)CCCC1,0.14305582332374456,0.061066653588612234,1.0
C[N+]1(C)CCC[C@H]2CCC[C@H]21,0.1286800924481502,0.05925674538373383,1.0
C[N+]1(C)CCC[C@@H]2CCC[C@@H]21,0.1286800176952513,0.05925674538373383,1.0
C[N+]1(C)CCC[C@@H]2CCC[C@H]21,0.1290307502397438,0.05925674538373383,1.0
C[N+]1(C)CCC[C@H]2CCC[C@@H]21,0.12903068056637954,0.05925674538373383,1.0
CCCC[N+](CCCC)(CCCC)CCCC,0.1412229381246602,0.06113636455397046,2.0
NCCNCCNCCNCCN,0.14114261220724325,0.06010739953950864,1.0
CC1(C)C=CC(C)(C)C[N+](C)(C)C1,0.12805852686934036,0.059951310798306144,2.0
C[C@H]1CCCC[C@@H]1N,0.1223085798386691,0.05796984033702058,1.0
C[C@H]1CCCC[C@H]1N,0.12168206220010552,0.05796984033702058,1.0
C[C@@H]1CCCC[C@H]1N,0.12230889669063562,0.05796984033702058,1.0
C[C@@H]1CCCC[C@@H]1N,0.12168228897661673,0.05796984033702058,1.0
CC1(C)CCC[N+](C)(C)C1,0.12726622778057717,0.058919797017806495,1.0
C[N+](C)(CCO)CCO,0.12646206790834638,0.058677119577807635,1.0
C1CCC2(C1)CCC[NH2+]2,0.12349725673611134,0.05842239108330228,1.0
C[C@@H]([C@H](O)c1ccccc1)N(C)C,0.13489450938076944,0.059880763763149415,1.0
C[N+]1(C)CCC[C@@H]2CC[C@@H]1C2,0.12854670599826226,0.05925674538373383,1.0
C[N+]1(C)CCC[C@H]2CC[C@H]1C2,0.12854672756671723,0.05925674538373383,1.0
C[N+]1(C)CCC[C@H]2CC[C@@H]1C2,0.1280840099793416,0.05925674538373383,1.0
C[N+]1(C)CCC[C@@H]2CC[C@H]1C2,0.12808403995171228,0.05925674538373383,1.0
C[N+]1(C)CCC2(CC1)OCCCO2,0.13322976659788552,0.06004027704835579,1.0
CC(C)CNCCCCCCCCCNCC(C)C,0.1551520563284906,0.06159120087854538,1.0
C[N+](CCO)(CCO)CCO,0.13178009855846431,0.059516521429691334,1.0
C[C@H]1CC[N+](C)(C)[C@H]2C[C@@H]1C2(C)C,0.13305054466203659,0.059951310798306144,1.0
C[C@H]1CC[N+](C)(C)[C@@H]2C[C@@H]1C2(C)C,0.13292227116706037,0.059951310798306144,1.0
C[C@@H]1CC[N+](C)(C)[C@@H]2C[C@H]1C2(C)C,0.13292229951772744,0.059951310798306144,1.0
C[C@H]1CC[N+](C)(C)[C@@H]2C[C@H]1C2(C)C,0.13286913695211053,0.059951310798306144,1.0
C[C@@H]1CC[N+](C)(C)[C@H]2C[C@H]1C2(C)C,0.13292215776290317,0.059951310798306144,1.0
C[C@@H]1CC[N+](C)(C)[C@H]2C[C@@H]1C2(C)C,0.1328691065416374,0.059951310798306144,1.0
CC(C)n1cc[n+](C(C)C)c1,0.1253214995924754,0.05922895163686054,2.0
CCOC(C[N+](C)(C)C)OCC,0.1351670199509202,0.05981100391664057,1.0
CC(C)(C)NCCCCCNC(C)(C)C,0.1387692438659294,0.06062480608052234,2.0
C[NH+](C)C,0.09692850049328808,0.055338940805751656,3.0
CN(C)C,0.09611998091890295,0.05526864777719593,3.0
CCC(N)N,0.11159088443665266,0.05620962003650052,1.0
CN(C)c1cccc2cccc(N(C)C)c12,0.13236597895041494,0.0606231575745095,2.0
CC1(C)[C@@H]2CCC[N+](C)(C)[C@@H]1C2,0.13054112457313075,0.05961851673167251,1.0
CC1(C)[C@H]2CCC[N+](C)(C)[C@H]1C2,0.13054097585174357,0.05961851673167251,1.0
CC1(C)[C@H]2CCC[N+](C)(C)[C@@H]1C2,0.13052507152008583,0.05961851673167251,1.0
CC1(C)[C@@H]2C[C@H]1CCC[N+]2(C)C,0.13052498158734388,0.05961851673167251,1.0
CC(C)[N+](C)(C)C(C)C,0.12007578236395074,0.05855311058716418,2.0
