,syn,E_F,dE_Oa,dE_Om,dE_S,dE_fOa,dE_fOm,dE_fS,lC_Oa,lC_Om,lC_S,lD_Oa,lD_Om,lD_S,lC_fOa,lC_fS,lD_fS
133,0.0,13.544874256830775,-5.407543703317754,-167.63385480285038,-13.969487900237532,-0.1643665716413247,-5.095363720881068,-0.4246136434067556,-6.540044718860127,-41.743330033315495,-6.224542877868074,-3.963110678036364,-6.584181219662135,-2.63153863831726,-6.3318952684113485,-6.224542877868074,-2.916854117919521
60318,0.0,10.264780382387697,-4.819113135545725,-231.3174305061948,-3.1259112230566872,11.005756620635308,528.2763177904948,7.13886915933101,-7.0435085040642775,-65.96511801292286,-7.764580542664855,-3.655674480700053,-12.9068065403048,-5.435568985238848,-9.054150250562191,-7.764580542664855,-4.613895839796459
24967,0.0,10.927389424591237,-0.5968614471071422,-14.324674730571411,-0.5968614471071423,10.330527977484095,247.9326714596183,10.330527977484095,-6.65717552623457,-66.57204354129878,-7.93489737918243,-5.952085415280924,-46.474052108032325,-7.097857666705204,-7.928627129949096,-7.934897379182431,-6.492930300205648
49900,0.0,12.665790527074677,-4.425855820026143,-146.05324206086274,-8.114069003381267,2.4827571947418616,81.93098742648144,4.551721523693413,-6.328287237236122,-8.451526606488635,-6.439551164517511,-4.35546578981022,-18.098928618885644,-4.712833944707183,-6.359755653888305,-6.439551164517512,-4.674346099920968
50287,0.0,11.910859311006686,-5.403566017582483,-108.07132035164965,-6.754457521978103,4.125121431222866,82.50242862445732,5.156401789028583,-3.4737167363802706,-3.7830010643008536,-3.198556209544299,-4.625611853950659,-13.844174150222171,-5.840701308873328,-3.18913446041584,-3.198556209544299,-5.608966374650282
3255,0.0,13.200082985590871,-0.7447017519465247,-41.70329810900538,-1.3032280659064182,6.798202811248259,380.6993574299025,11.896854919684452,-8.10089043019219,-58.795663732415456,-9.558346112534805,-4.435879383496793,-68.07195614599277,-4.792545128128131,-8.425106529751647,-9.558346112534805,-4.847315108008166
35298,0.0,12.815528268615251,-0.8353611908062323,-27.566919296605665,-1.5314955164780926,6.1549269557111765,203.1125895384688,11.284032752137158,-7.223120346199547,-60.05440312963146,-9.201198603956172,-5.381989863558291,-52.401065617155936,-6.564782260873553,-7.459198296577826,-9.20119860395617,-6.610553543607867
63119,0.0,13.151496900238287,-1.5096838737300515,-75.48419368650258,-4.717762105406411,2.6987951343462004,134.93975671731002,8.433734794831876,-7.801007588416884,-47.42130863612354,-8.444582405486804,-4.466963599192167,-51.61756329400091,-4.565400368151295,-7.144923682971595,-8.444582405486804,-4.4970382783553005
27104,0.0,11.165002582448434,-4.154951104119121,-137.113386435931,-8.569586652245688,1.2583834813104222,41.526654883243936,2.595415930202746,-7.025810237051148,-31.48614396260601,-7.31912093424848,-4.481960403976106,-22.571358420363005,-4.323131860286574,-6.960518890224555,-7.31912093424848,-3.818861532812321
812,0.0,13.544874256830775,-3.88798098699422,-163.29520145375724,-10.205950090859828,1.2719711108460758,53.422786655535184,3.338924165970949,-6.996948164194941,-43.04788011342684,-7.356166714963056,-3.982704216518304,-15.224193780525969,-3.431123203251212,-6.763774537850457,-7.356166714963056,-3.605879936495561
65425,0.0,11.599314407176578,-5.749510185831332,-172.48530557493996,-10.780331598433747,0.4367908313295098,13.103724939885296,0.818982808742831,-6.438146747284296,-16.78602202961086,-6.210418382389465,-4.047033433308699,-3.613454299462884,-3.994431850975976,-6.367872696574999,-6.210418382389465,-3.6125120088596248
13230,0.0,15.36325199743046,-0.90218606658019,-21.65246559792456,-0.6014573777201266,22.1426919295655,531.424606309572,14.761794619710336,-6.045613405766514,-44.64832301367381,-6.755061412201263,-5.710311000035699,-45.56264788508358,-7.321728642956177,-9.633247758494887,-6.755061412201264,-8.18385515448915
51330,0.0,13.806525850036705,-3.3812160872219463,-169.06080436109733,-7.044200181712387,3.245916320795672,162.29581603978357,6.762325668324316,-7.188331550584534,-38.733488413801545,-6.8785550473429495,-3.887350050462812,-25.39277563753859,-3.691400988431068,-6.518098632696969,-6.8785550473429495,-3.952832201075878
54560,0.0,14.890776976770372,-4.696096663460704,-220.71654318265308,-11.82410052764213,1.217970788306253,57.24462705039389,3.066676449128244,-7.0014201253949855,-37.74585852523075,-7.172694709497357,-3.693813788021272,-11.16194308652908,-2.73737866911806,-6.978872900181476,-7.172694709497358,-3.284408979168836
