sisso_model,dectree_rank,logistic_rank,average_rank
sisso_00314,11215,9160,10187.5
sisso_00315,15207,21228,18217.5
sisso_00316,19391,26237,22814.0
sisso_00317,48938,40543,44740.5
sisso_00318,6137,39118,22627.5
sisso_00319,48440,8338,28389.0
sisso_00320,35868,27368,31618.0
sisso_00321,2774,4353,3563.5
sisso_00322,4853,6664,5758.5
sisso_00323,38746,23868,31307.0
sisso_00324,40240,1981,21110.5
sisso_00325,2161,7321,4741.0
sisso_00326,3330,3513,3421.5
sisso_00327,4074,7977,6025.5
sisso_00328,9566,11277,10421.5
sisso_00329,14957,6529,10743.0
sisso_00330,18104,7978,13041.0
sisso_00331,4997,13508,9252.5
sisso_00332,714,5432,3073.0
sisso_00333,5417,13138,9277.5
sisso_00334,6473,13139,9806.0
sisso_00335,45230,30491,37860.5
sisso_00336,3768,21826,12797.0
sisso_00337,1123,23293,12208.0
sisso_00338,11642,9000,10321.0
sisso_00339,3933,5916,4924.5
sisso_00340,32221,1668,16944.5
sisso_00341,12958,16919,14938.5
sisso_00342,4998,4712,4855.0
sisso_00343,48263,38133,43198.0
sisso_00344,1595,4093,2844.0
sisso_00345,2483,4469,3476.0
sisso_00346,16628,7646,12137.0
sisso_00347,15439,32096,23767.5
sisso_00348,4459,3451,3955.0
sisso_00349,48905,5175,27040.0
sisso_00350,18671,33679,26175.0
sisso_00351,2162,6530,4346.0
sisso_00352,28169,2654,15411.5
sisso_00353,4579,4579,4579.0
sisso_00354,8046,8339,8192.5
sisso_00355,6311,19836,13073.5
sisso_00356,26551,375,13463.0
sisso_00357,4854,3335,4094.5
sisso_00358,12508,8159,10333.5
sisso_00359,1879,3948,2913.5
sisso_00360,20831,9001,14916.0
sisso_00361,14145,48059,31102.0
sisso_00362,15919,6207,11063.0
sisso_00363,4719,4094,4406.5
sisso_00364,28170,30068,29119.0
sisso_00365,25844,6371,16107.5
sisso_00366,45154,2941,24047.5
sisso_00367,4720,19319,12019.5
sisso_00368,47603,42943,45273.0
sisso_00369,21717,14893,18305.0
sisso_00370,11865,47505,29685.0
sisso_00371,29390,744,15067.0
sisso_00372,3195,4470,3832.5
sisso_00373,10787,34774,22780.5
sisso_00374,20070,24161,22115.5
sisso_00375,49586,13509,31547.5
sisso_00376,27091,29615,28353.0
sisso_00377,46105,17349,31727.0
sisso_00378,47687,4263,25975.0
sisso_00379,19922,21827,20874.5
sisso_00380,48139,30697,39418.0
sisso_00381,12280,10520,11400.0
sisso_00382,38505,977,19741.0
sisso_00383,19554,14894,17224.0
sisso_00384,2024,8160,5092.0
sisso_00385,36094,2942,19518.0
sisso_00386,9185,44153,26669.0
sisso_00387,22039,26519,24279.0
sisso_00388,40600,15681,28140.5
sisso_00389,45304,16500,30902.0
sisso_00390,12737,1571,7154.0
sisso_00391,48521,4264,26392.5
sisso_00392,32222,47872,40047.0
sisso_00393,17113,3060,10086.5
sisso_00394,28325,22712,25518.5
sisso_00395,4580,4921,4750.5
sisso_00396,1729,4471,3100.0
sisso_00397,27259,14895,21077.0
sisso_00398,20672,28587,24629.5
sisso_00399,29779,21828,25803.5
sisso_00400,1124,21829,11476.5
sisso_00401,9943,36879,23411.0
sisso_00402,6138,21515,13826.5
sisso_00403,4196,18818,11507.0
sisso_00404,4855,17817,11336.0
sisso_00405,3934,3854,3894.0
sisso_00406,3935,39957,21946.0
sisso_00407,49869,3336,26602.5
sisso_00408,20354,3780,12067.0
sisso_00409,3196,35142,19169.0
sisso_00410,49870,3855,26862.5
sisso_00411,3037,6372,4704.5
sisso_00412,48638,5799,27218.5
sisso_00413,2775,4713,3744.0
sisso_00414,8780,38837,23808.5
sisso_00415,9373,42944,26158.5
sisso_00416,12070,45637,28853.5
sisso_00417,9567,43759,26663.0
sisso_00418,37152,42945,40048.5
sisso_00419,31349,1714,16531.5
sisso_00420,7308,42496,24902.0
sisso_00421,49810,3061,26435.5
sisso_00422,24380,27110,25745.0
sisso_00423,23862,24494,24178.0
sisso_00424,25294,25356,25325.0
sisso_00425,12071,12376,12223.5
sisso_00426,2911,745,1828.0
sisso_00427,23026,28588,25807.0
sisso_00428,6474,16920,11697.0
sisso_00429,423,4354,2388.5
sisso_00430,38235,43158,40696.5
sisso_00431,28326,37351,32838.5
sisso_00432,3769,15884,9826.5
sisso_00433,27444,16921,22182.5
sisso_00434,25119,18046,21582.5
sisso_00435,44564,34957,39760.5
sisso_00436,19726,7647,13686.5
sisso_00437,44894,6982,25938.0
sisso_00438,3038,3514,3276.0
sisso_00439,27260,35783,31521.5
sisso_00440,48639,6373,27506.0
sisso_00441,4197,3515,3856.0
sisso_00442,32655,23869,28262.0
sisso_00443,24018,20933,22475.5
sisso_00444,28327,10716,19521.5
sisso_00445,10991,8340,9665.5
sisso_00446,8392,25357,16874.5
sisso_00447,32223,41941,37082.0
sisso_00448,48140,43554,45847.0
sisso_00449,29952,48139,39045.5
sisso_00450,21432,10009,15720.5
sisso_00451,48563,44932,46747.5
sisso_00452,16370,8341,12355.5
sisso_00453,18105,6815,12460.0
sisso_00454,21140,23294,22217.0
sisso_00455,26208,48294,37251.0
sisso_00456,16371,6531,11451.0
sisso_00457,1125,46726,23925.5
sisso_00458,28328,45933,37130.5
sisso_00459,43816,38025,40920.5
sisso_00460,18106,21516,19811.0
sisso_00461,27804,25077,26440.5
sisso_00462,22350,11278,16814.0
sisso_00463,34074,47615,40844.5
sisso_00464,31786,48140,39963.0
sisso_00465,18107,1304,9705.5
sisso_00466,25295,28852,27073.5
sisso_00467,38747,47263,43005.0
sisso_00468,4581,3188,3884.5
sisso_00469,44025,47811,45918.0
sisso_00470,43480,46958,45219.0
sisso_00471,41446,47924,44685.0
sisso_00472,19392,6983,13187.5
sisso_00473,13900,13703,13801.5
sisso_00474,8974,9161,9067.5
sisso_00475,6962,18047,12504.5
sisso_00476,46711,10172,28441.5
sisso_00477,28856,47724,38290.0
sisso_00478,28660,1619,15139.5
sisso_00479,19225,1572,10398.5
sisso_00480,23027,6816,14921.5
sisso_00481,48668,7807,28237.5
sisso_00482,17308,4922,11115.0
sisso_00483,29391,4095,16743.0
sisso_00484,1730,4096,2913.0
sisso_00485,205,25078,12641.5
sisso_00486,29582,703,15142.5
sisso_00487,40759,34878,37818.5
sisso_00488,5260,28280,16770.0
sisso_00489,42040,27968,35004.0
sisso_00490,46712,16501,31606.5
sisso_00491,13663,10173,11918.0
sisso_00492,49286,37829,43557.5
sisso_00493,17309,48654,32981.5
sisso_00494,865,22713,11789.0
sisso_00495,46179,8342,27260.5
sisso_00496,30931,18302,24616.5
sisso_00497,31350,37223,34286.5
sisso_00498,29030,48009,38519.5
sisso_00499,49649,22122,35885.5
sisso_00500,40601,48234,44417.5
sisso_00501,11866,15493,13679.5
sisso_00502,19923,6665,13294.0
sisso_00503,27445,17350,22397.5
sisso_00504,16372,18561,17466.5
sisso_00505,33820,3021,18420.5
sisso_00506,13429,32372,22900.5
sisso_00507,5418,39683,22550.5
sisso_00508,43246,18303,30774.5
sisso_00509,20994,19320,20157.0
sisso_00510,34075,48093,41084.0
sisso_00511,35350,1834,18592.0
sisso_00512,42585,42718,42651.5
sisso_00513,4856,3703,4279.5
sisso_00514,19924,4714,12319.0
sisso_00515,38748,47873,43310.5
sisso_00516,26731,40816,33773.5
sisso_00517,35620,48295,41957.5
sisso_00518,28171,42946,35558.5
sisso_00519,28857,48172,38514.5
sisso_00520,28661,45638,37149.5
sisso_00521,48640,39861,44250.5
sisso_00522,40760,24162,32461.0
sisso_00523,3477,3856,3666.5
sisso_00524,28509,25939,27224.0
sisso_00525,4582,28853,16717.5
sisso_00526,41742,1074,21408.0
sisso_00527,43481,18819,31150.0
sisso_00528,12959,4265,8612.0
sisso_00529,13178,10521,11849.5
sisso_00530,1032,22123,11577.5
sisso_00531,20832,7490,14161.0
sisso_00532,5716,1620,3668.0
sisso_00533,13430,12933,13181.5
sisso_00534,47948,41942,44945.0
sisso_00535,6647,35555,21101.0
sisso_00536,42709,48412,45560.5
sisso_00537,42586,47974,45280.0
sisso_00538,19393,6984,13188.5
sisso_00539,40241,15682,27961.5
sisso_00540,41267,29119,35193.0
sisso_00541,37443,48429,42936.0
sisso_00542,12960,9843,11401.5
sisso_00543,6475,16922,11698.5
sisso_00544,12509,41943,27226.0
sisso_00545,29953,37352,33652.5
sisso_00546,17310,41086,29198.0
sisso_00547,11867,48578,30222.5
sisso_00548,34851,11472,23161.5
sisso_00549,15208,14260,14734.0
sisso_00550,22691,10174,16432.5
sisso_00551,45155,47874,46514.5
sisso_00552,9944,44754,27349.0
sisso_00553,7861,46727,27294.0
sisso_00554,41268,40165,40716.5
sisso_00555,34852,43953,39402.5
sisso_00556,7309,43159,25234.0
