job,crystal_id,framework,stoichiometry,energies,Si_count,formation_E
35296607,59490807,BOF,O48Si24,-21.183149317480026,24,10.071303103878684
35296613,59490814,CAS,O48Si24,-21.173899891097488,24,11.083151887930276
78516493,201985381,IWV,O76Si38,-33.498573925685385,38,12.932579692866838
35296606,59490805,BEC,O64Si32,-28.20081076342416,32,13.631179979897874
78516447,59490773,ACO,O32Si16,-14.095759527011326,16,14.393535757772721
35296585,59490776,AEN,O96Si48,-42.33794018536734,48,11.62245133465703
35296717,59490959,SAS,O64Si32,-28.21059817211584,32,12.828153621226184
35296743,59490994,SWY,O144Si72,-63.47942624296607,72,12.624664384827893
35296735,59490984,SSO,O164Si80,-70.65456388524386,80,8.625106695024929
35296755,59491186,UWY,O120Si60,-52.91532919498069,60,11.932962098820697
35296643,59490855,HEU,O72Si36,-31.76364065738215,36,10.879615765699288
35296638,59490850,GIS,O32Si16,-14.104863927026722,16,12.899560503941382
35296610,59490810,BPH,O56Si28,-24.671414851631518,28,14.033872295941753
35296624,59490831,DON,O128Si64,-56.48371345360406,64,10.263486696841749
35296584,59490775,AEL,O80Si40,-35.31273849763759,40,9.579702137901815
35323166,59490827,DDR,O240Si120,-105.89217148398093,120,10.587106760063055
35296708,59490949,RON,O104Si56,-46.18376498809492,56,162.1432480367778
35296592,59490784,AFT,O144Si72,-63.45674843968627,72,13.451616843809461
35296597,59490790,APC,O64Si32,-28.20865806331893,32,12.987333497298518
35296726,59490971,SFN,O64Si32,-28.22183573349613,32,11.906146757118146
35323193,59491193,YFI,O240Si120,-105.86345955271557,120,11.215299937393047
35296682,59490909,MOR,O96Si48,-42.349668883243716,48,10.980915946736786
78516479,59490978,SOD,O24Si12,-10.578920690274563,12,12.839886165281376
78516448,59490779,AFI,O48Si24,-21.170787740291104,24,11.423608244788255
35296618,59490820,CHI,O60Si28,-24.731803696851813,28,8.371339252954066
35296654,59490870,ITH,O112Si56,-49.40930094558267,56,10.91743908157626
78516455,59490806,BIK,O24Si12,-10.585603463025889,12,11.3777510656847
35296753,59491184,USI,O80Si40,-35.24100056717662,40,14.288400907223458
35296629,59490839,ESV,O96Si48,-42.34557131921677,48,11.20504417949199
35323191,59491052,TUN,O384Si192,-169.45550585816486,192,10.20379078969319
35296751,59491136,UOS,O48Si24,-21.167454631329605,24,11.788236504998046
35296590,59490782,AFR,O64Si32,-28.20606503985416,32,13.200082985590873
35323173,59490862,IHW,O224Si112,-98.88065995904991,112,9.462675959768147
35296727,59490972,SFO,O64Si32,-28.206657214530544,32,13.151496900238287
35296724,59490969,SFG,O148Si74,-65.30925721806616,74,10.264780382387697
35296604,59490802,AWW,O48Si24,-21.16681692903785,24,11.857998483937514
78516470,59490923,NAT,O40Si20,-17.596940483132247,20,17.381213947691176
35323169,59490842,EUO,O224Si112,-98.7801332041737,112,11.819220736847159
35296677,59490903,MEL,O192Si96,-84.72182657579282,96,10.365870391225714
35296729,59490976,SGT,O128Si64,-56.46779187134532,64,10.916644781289277
35296702,59490941,POR,O128Si64,-56.38535443273936,64,14.298512149217853
78516466,59490908,MON,O32Si16,-14.103372609233116,16,13.144276451777428
35296756,59491188,VFI,O72Si36,-31.666716588222236,36,17.948342514703842
35296662,59490885,JSR,O192Si96,-84.08181898891421,96,27.869412551135376
35296603,59490801,AWO,O96Si48,-42.33315980743546,48,11.883928068328405
78516494,203995250,ANO,O192Si96,-84.6427823198749,96,12.527648617490005
35296625,59490832,EAB,O72Si36,-31.73652247746191,36,12.857359843594377
35296639,59490851,GIU,O192Si96,-84.65230683687842,96,12.267162978972678
35296594,59490786,AFX,O96Si48,-42.304340919146206,48,13.460261338478452
78516460,59490838,ERI,O72Si36,-31.738763162892493,36,12.693945397868468
78516487,137469540,EWO,O48Si24,-21.189833977675818,24,9.340029075504237
78516483,59491190,VSV,O72Si36,-31.67910091249791,36,17.045146796297225
35296706,59490947,PWW,O80Si40,-35.27689702823945,40,11.932246764729367
35296757,59491189,VNI,O120Si60,-52.831932629199315,60,15.582257101126311
35296749,59491070,UFI,O128Si64,-56.39739741915126,64,13.804467411201635
35296649,59490865,IRR,O104Si52,-45.757071467984524,52,17.127438559365142
35296653,59490869,ITG,O112Si56,-49.38435544833577,56,12.086982081770016
35296720,59490964,SBS,O192Si96,-84.57849716894866,96,14.285780665551048
35296700,59490939,PHI,O64Si32,-28.209395916662686,32,12.926794931623338
35296670,59490893,LOS,O48Si24,-21.15871691113339,24,12.744106760110878
35323176,59490877,IWS,O272Si136,-119.81338560773318,136,14.404546871306659
35296685,59490914,MSO,O180Si90,-79.45532248013564,90,9.531251144052613
35296601,59490798,ATV,O48Si24,-21.174604889089792,24,11.006028039188804
