dft_job_id,dft_crystal_id,framework,stoichiometry,Si_count,dft_formation_energy,dreiding_formation_energy
35296693,59490930,OFF,O36Si18,18,12.665790527074677,-26.850385830722445
35296598,59490791,APD,O64Si32,32,12.11809605047399,-33.170108387274446
35296686,59490915,MTF,O88Si44,44,7.954219470791641,4.759993440484698
35296605,59490804,BEA,O128Si64,64,12.204189053571708,18.46242389829939
35296684,59490912,MRT,O48Si24,24,12.291596056014257,-20.16967885296503
35296635,59490846,FAR,O168Si84,84,12.318331367454263,-52.11689171387217
78516462,59490880,JBW,O12Si6,6,10.749242823596507,-27.68533715360182
35296732,59490980,SOR,O96Si48,48,11.962519740140388,-1.5176528558471667
35296701,59490940,PON,O48Si24,24,12.136156362857102,-3.8412899070350246
35296716,59490958,SAO,O112Si56,56,14.890776976770372,-14.456979687247689
35296658,59490876,IWR,O112Si56,56,12.53606914226924,-4.21186470132766
35323183,59490924,NES,O272Si136,136,15.399941477627118,4.419334622414596
35296699,59490938,PCS,O128Si64,64,11.432849045510672,6.656776160535863
35296614,59490815,CDO,O72Si36,36,15.36325199743046,11.860844098254981
35296718,59490960,SAT,O144Si72,72,12.344913037515717,7.447280180949842
35296725,59490970,SFH,O128Si64,64,12.031075446594778,-21.807964129146782
35296602,59490800,AVL,O84Si42,42,14.31698742383863,-1.7670334333279063
35323172,59490859,IFU,O260Si128,128,14.456587743311989,-2.492510947351533
78516491,201983851,ITQ-55,O152Si76,76,13.709911126417277,
35296671,59490895,LTA,O48Si24,24,14.561583408264935,5.790842864038269
35296736,59490985,SSY,O56Si28,28,12.478133896867307,-24.99024037990499
35323184,59490943,PSI,O288Si144,144,8.259539692995222,-20.12859240683513
35296759,59491194,YUG,O32Si16,16,11.157002050208783,-22.824196048104955
78516472,59490927,NPT,O72Si36,36,23.53576245144606,-32.45525127929322
35323178,59490879,IWW,O224Si112,112,12.087290404042482,-2.015620597184505
35296596,59490788,AHT,O48Si24,24,17.280908826416248,-15.959852093648347
78516454,59490803,BCT,O16Si8,8,11.71144750050456,-25.13710230479662
35296664,59490887,JSW,O96Si48,48,12.1835088030423,-7.873209697511082
35296703,59490942,POS,O128Si64,64,13.06903299631072,3.1197764736053006
35296661,59490884,JSN,O32Si16,16,12.591075179629582,0.06508726042760446
35296652,59490868,ITE,O128Si64,64,11.79409781707738,-1.0038487482250873
78516451,59490793,ASV,O40Si20,20,12.997288900431831,-14.350879386866064
35296696,59490934,OWE,O32Si16,16,12.437369970834348,10.840030237728575
35296607,59490807,BOF,O48Si24,24,10.071303103878684,-6.6574630505027725
35296613,59490814,CAS,O48Si24,24,11.083151887930276,-16.916829083042167
78516493,201985381,IWV,O76Si38,38,12.932579692866838,4.643900516838559
35296606,59490805,BEC,O64Si32,32,13.631179979897874,6.710858392104205
78516447,59490773,ACO,O32Si16,16,14.39353575777272,-16.737071988309705
35296585,59490776,AEN,O96Si48,48,11.62245133465703,7.551800069016095
35296717,59490959,SAS,O64Si32,32,12.828153621226184,-5.314538042934611
35296743,59490994,SWY,O144Si72,72,12.624664384827891,-11.673494809108545
35296735,59490984,SSO,O164Si80,80,8.625106695024929,-12.89919759285226
35296755,59491186,UWY,O120Si60,60,11.932962098820695,1.3131765949340772
35296643,59490855,HEU,O72Si36,36,10.879615765699288,1.3290953629267264
35296638,59490850,GIS,O32Si16,16,12.899560503941382,-38.866988299927186
35296610,59490810,BPH,O56Si28,28,14.033872295941752,-11.464910156473547
35296624,59490831,DON,O128Si64,64,10.263486696841747,-4.755696191336699
35296584,59490775,AEL,O80Si40,40,9.579702137901815,-20.72043356530766
35323166,59490827,DDR,O240Si120,120,10.587106760063056,4.627089609007703
35296592,59490784,AFT,O144Si72,72,13.45161684380946,4.357741135998732
35296597,59490790,APC,O64Si32,32,12.987333497298518,-22.469409618656044
35296726,59490971,SFN,O64Si32,32,11.906146757118146,-22.812669159358542
35323193,59491193,YFI,O240Si120,120,11.215299937393048,0.9965078002144029
35296682,59490909,MOR,O96Si48,48,10.980915946736786,11.200113509603767
78516479,59490978,SOD,O24Si12,12,12.839886165281376,-30.90599102234253
78516448,59490779,AFI,O48Si24,24,11.423608244788255,-21.17482263504141
35296618,59490820,CHI,O60Si28,28,8.371339252954066,-23.388709275985583
35296654,59490870,ITH,O112Si56,56,10.91743908157626,-3.048287804211539
78516455,59490806,BIK,O24Si12,12,11.3777510656847,-32.11178649624853
35296753,59491184,USI,O80Si40,40,14.288400907223458,-13.06648910332235
35296629,59490839,ESV,O96Si48,48,11.20504417949199,-10.831241330672817
35323191,59491052,TUN,O384Si192,192,10.20379078969319,-0.32300654075529744
35296751,59491136,UOS,O48Si24,24,11.788236504998046,-10.883046986361526
35296590,59490782,AFR,O64Si32,32,13.200082985590871,-12.62603395338714
35323173,59490862,IHW,O224Si112,112,9.462675959768148,-4.1768895695496635
35296727,59490972,SFO,O64Si32,32,13.151496900238287,-7.89876110777083
35296724,59490969,SFG,O148Si74,74,10.264780382387697,-7.586835521419037
35296604,59490802,AWW,O48Si24,24,11.857998483937514,-24.145850437237694
78516470,59490923,NAT,O40Si20,20,17.381213947691176,-14.869390132262028
35323169,59490842,EUO,O224Si112,112,11.81922073684716,-5.150256785358099
35296677,59490903,MEL,O192Si96,96,10.365870391225714,-4.59213204502199
35296729,59490976,SGT,O128Si64,64,10.916644781289277,-1.9388261525765684
35296702,59490941,POR,O128Si64,64,14.298512149217853,7.7128572807771105
78516466,59490908,MON,O32Si16,16,13.144276451777428,0.042116038176888096
35296756,59491188,VFI,O72Si36,36,17.948342514703842,-7.002874799867359
35296662,59490885,JSR,O192Si96,96,27.869412551135376,-33.68045768766692
35296603,59490801,AWO,O96Si48,48,11.883928068328403,-15.694271377297088
78516494,203995250,ANO,O192Si96,96,12.527648617490003,82.17933457043245
35296625,59490832,EAB,O72Si36,36,12.857359843594375,7.1907310791078105
35296639,59490851,GIU,O192Si96,96,12.267162978972678,-23.95194005330724
35296594,59490786,AFX,O96Si48,48,13.460261338478452,3.516489523484527
78516460,59490838,ERI,O72Si36,36,12.693945397868468,16.35776706068071
78516487,137469540,EWO,O48Si24,24,9.340029075504235,65.88759066427119
78516483,59491190,VSV,O72Si36,36,17.045146796297225,-11.521737797809081
35296706,59490947,PWW,O80Si40,40,11.932246764729369,8.532369754593425
35296757,59491189,VNI,O120Si60,60,15.582257101126311,-10.279688741111869
35296749,59491070,UFI,O128Si64,64,13.804467411201635,2.7515958631736694
35296649,59490865,IRR,O104Si52,52,17.127438559365142,1.0622876482674046
35296653,59490869,ITG,O112Si56,56,12.086982081770016,-2.909487157928063
35296720,59490964,SBS,O192Si96,96,14.285780665551048,-3.871120651788933
35296700,59490939,PHI,O64Si32,32,12.926794931623338,1.5564365226650134
35296670,59490893,LOS,O48Si24,24,12.744106760110878,-55.20092195502081
35323176,59490877,IWS,O272Si136,136,14.40454687130666,9.733313764149104
35296685,59490914,MSO,O180Si90,90,9.531251144052613,-13.148448677285606
35296601,59490798,ATV,O48Si24,24,11.006028039188804,-21.32449297733471
35296660,59490883,JRY,O48Si24,24,10.538367210795412,-9.65706147922268
35296673,59490898,LTL,O72Si36,36,11.990690866029826,-20.396087311302853
78516457,59490819,CHA,O72Si36,36,13.53597092690117,2.08098462782543
78516449,59490789,ANA,O96Si48,48,11.14208905867664,-1.4955226236667578
35296619,59490822,CON,O112Si56,56,11.856022321088949,-3.987894612431878
35323180,59490910,MOZ,O216Si108,108,12.184992405481374,-20.415197530992238
78516456,59490813,CAN,O24Si12,12,12.756169072884692,-41.13609189494586
35296681,59490907,MFS,O72Si36,36,10.9715400866736,6.961853400916293
35296683,59490911,MRE,O96Si48,48,8.276063969200491,-18.058550573169892
78516473,59490933,OSO,O18Si9,9,30.283282615560317,-40.519115088778356
35296640,59490852,GME,O48Si24,24,13.414612768668537,-13.417723920625555
35296663,59490886,JST,O96Si48,48,28.08319813091057,-49.883497765143645
35296583,59490774,AEI,O96Si48,48,13.544874256830775,1.6734798854744497
35296709,59490950,RRO,O36Si18,18,13.704728702618336,9.152499933815955
